model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
baseline_demo_ridge,ohs,17,17,952,56,1.5,-0.1442
baseline_demo_ridge,oks,17,17,952,56,4.5,-0.0696
baseline_naive_mean,sis,17,17,952,56,1.5,-0.1664
baseline_naive_mean,ohs,17,17,952,56,1.7647,-1.1324
baseline_naive_mean,oks,17,17,952,56,4.5,-0.2537
ridge_sensor_demo,sis,17,17,952,56,9.2903,-36.6076
ridge_sensor_demo,ohs,17,17,952,56,13.6481,-99.5118
ridge_sensor_demo,oks,17,17,952,56,18.8163,-12.3088
tuned_ridge,sis,17,17,952,56,10.3093,-40.4639
tuned_ridge,ohs,17,17,952,56,5.1951,-39.8251
tuned_ridge,oks,17,17,952,56,18.4518,-16.9016
tuned_elasticnet,sis,17,17,952,56,1.5272,-0.2443
tuned_elasticnet,ohs,17,17,952,56,1.4782,-0.5477
tuned_elasticnet,oks,17,17,952,56,4.4748,-0.109
rf,sis,17,17,952,56,2.3998,-1.9234
rf,ohs,17,17,952,56,2.8199,-3.1381
rf,oks,17,17,952,56,3.7326,0.4156
lgbm,sis,17,17,952,56,2.1034,-1.4555
lgbm,ohs,17,17,952,56,3.2118,-3.5397
lgbm,oks,17,17,952,56,4.0586,0.3218
baseline_demo_ridge,sis,18,18,952,56,3.7352,-8.2678
baseline_demo_ridge,ohs,18,18,952,56,3.0918,-13.9042
baseline_demo_ridge,oks,18,18,952,56,12.1988,-35.5366
baseline_naive_mean,sis,18,18,952,56,5.1765,-15.879
baseline_naive_mean,ohs,18,18,952,56,5.7353,-47.8452
baseline_naive_mean,oks,18,18,952,56,1.75,-0.0002
ridge_sensor_demo,sis,18,18,952,56,4.0757,-12.6638
ridge_sensor_demo,ohs,18,18,952,56,12.6158,-279.9425
ridge_sensor_demo,oks,18,18,952,56,20.5178,-117.489
tuned_ridge,sis,18,18,952,56,6.0303,-26.5057
tuned_ridge,ohs,18,18,952,56,13.1662,-343.9192
tuned_ridge,oks,18,18,952,56,7.6421,-18.8944
tuned_elasticnet,sis,18,18,952,56,5.177,-15.8908
tuned_elasticnet,ohs,18,18,952,56,5.3985,-42.7257
tuned_elasticnet,oks,18,18,952,56,2.3433,-0.6842
rf,sis,18,18,952,56,3.7087,-8.3841
rf,ohs,18,18,952,56,7.4916,-169.1247
rf,oks,18,18,952,56,3.1789,-2.3541
lgbm,sis,18,18,952,56,2.9401,-6.1923
lgbm,ohs,18,18,952,56,7.0968,-128.2817
lgbm,oks,18,18,952,56,3.2704,-2.4514
